date,region,confirmed,recovered,deaths,new_case,active
05/05/2020,Fès-Meknès,665,307,26,3,332
06/05/2020,Fès-Meknès,695,321,26,30,348
07/05/2020,Fès-Meknès,721,345,26,26,350
08/05/2020,Fès-Meknès,729,352,26,8,351
09/05/2020,Fès-Meknès,812,365,26,83,421
10/05/2020,Fès-Meknès,855,387,26,43,442
11/05/2020,Fès-Meknès,889,403,26,34,460
12/05/2020,Fès-Meknès,899,416,26,10,457
13/05/2020,Fès-Meknès,911,424,26,12,461
14/05/2020,Fès-Meknès,923,452,26,12,445
15/05/2020,Fès-Meknès,928,468,26,5,434
16/05/2020,Fès-Meknès,938,503,26,10,409
17/05/2020,Fès-Meknès,945,535,26,7,384
18/05/2020,Fès-Meknès,958,574,26,13,358
19/05/2020,Fès-Meknès,960,629,26,2,305
20/05/2020,Fès-Meknès,980,668,27,20,285
21/05/2020,Fès-Meknès,984,702,27,4,255
22/05/2020,Fès-Meknès,990,733,27,6,230
23/05/2020,Fès-Meknès,992,754,27,2,211
24/05/2020,Fès-Meknès,994,765,27,2,202
25/05/2020,Fès-Meknès,995,769,27,1,199
26/05/2020,Fès-Meknès,995,791,27,0,177
05/05/2020,Beni Mellal-Khénifra,85,28,7,0,50
06/05/2020,Beni Mellal-Khénifra,89,32,7,4,50
07/05/2020,Beni Mellal-Khénifra,92,34,7,3,51
08/05/2020,Beni Mellal-Khénifra,98,37,7,6,54
09/05/2020,Beni Mellal-Khénifra,104,37,7,6,60
10/05/2020,Beni Mellal-Khénifra,105,42,7,1,56
11/05/2020,Beni Mellal-Khénifra,107,46,7,2,54
12/05/2020,Beni Mellal-Khénifra,107,52,7,0,48
13/05/2020,Beni Mellal-Khénifra,107,54,7,0,46
14/05/2020,Beni Mellal-Khénifra,107,61,7,0,39
15/05/2020,Beni Mellal-Khénifra,107,62,7,0,38
16/05/2020,Beni Mellal-Khénifra,109,63,7,2,39
17/05/2020,Beni Mellal-Khénifra,112,64,7,3,41
18/05/2020,Beni Mellal-Khénifra,112,64,7,0,41
19/05/2020,Beni Mellal-Khénifra,112,73,7,0,32
20/05/2020,Beni Mellal-Khénifra,113,74,7,1,32
21/05/2020,Beni Mellal-Khénifra,113,80,7,0,26
22/05/2020,Beni Mellal-Khénifra,113,88,7,0,18
23/05/2020,Beni Mellal-Khénifra,113,92,7,0,14
24/05/2020,Beni Mellal-Khénifra,113,92,7,0,14
25/05/2020,Beni Mellal-Khénifra,113,95,7,0,11
26/05/2020,Beni Mellal-Khénifra,113,95,7,0,11
05/05/2020,Casablanca-Settat,1362,324,46,56,992
06/05/2020,Casablanca-Settat,1403,355,46,41,1002
07/05/2020,Casablanca-Settat,1500,389,46,97,1065
08/05/2020,Casablanca-Settat,1579,435,46,79,1098
09/05/2020,Casablanca-Settat,1591,480,46,12,1065
10/05/2020,Casablanca-Settat,1622,520,46,31,1056
11/05/2020,Casablanca-Settat,1732,564,46,110,1122
12/05/2020,Casablanca-Settat,1752,607,46,20,1099
13/05/2020,Casablanca-Settat,1814,656,46,62,1112
14/05/2020,Casablanca-Settat,1857,700,38,43,1119
15/05/2020,Casablanca-Settat,1882,711,46,25,1125
16/05/2020,Casablanca-Settat,1940,754,47,58,1139
17/05/2020,Casablanca-Settat,2039,780,47,99,1224
18/05/2020,Casablanca-Settat,2076,775,47,37,1261
19/05/2020,Casablanca-Settat,2120,830,48,44,1242
20/05/2020,Casablanca-Settat,2190,910,48,70,1232
21/05/2020,Casablanca-Settat,2242,970,49,52,1223
22/05/2020,Casablanca-Settat,2330,1002,49,88,1279
23/05/2020,Casablanca-Settat,2385,1050,49,55,1286
24/05/2020,Casablanca-Settat,2397,1237,49,12,1111
25/05/2020,Casablanca-Settat,2458,1241,50,61,1167
26/05/2020,Casablanca-Settat,2495,1314,50,37,1131
05/05/2020,Daraa-Tafilalt,551,221,4,3,326
06/05/2020,Daraa-Tafilalt,557,229,4,6,324
07/05/2020,Daraa-Tafilalt,557,301,4,0,252
08/05/2020,Daraa-Tafilalt,557,304,4,0,249
09/05/2020,Daraa-Tafilalt,559,378,4,2,177
10/05/2020,Daraa-Tafilalt,559,414,4,0,141
11/05/2020,Daraa-Tafilalt,571,450,4,12,117
12/05/2020,Daraa-Tafilalt,584,460,4,13,120
13/05/2020,Daraa-Tafilalt,584,465,4,0,115
14/05/2020,Daraa-Tafilalt,585,483,4,1,98
